('EBAS_VNAME', 'CFNAME', 'MATRIX_NAME')
('PCB_123', 'mass_concentration_of_polychlorinated_biphenyl_123_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_126', 'mass_concentration_of_polychlorinated_biphenyl_126_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_128', 'mass_concentration_of_polychlorinated_biphenyl_128_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_130+176', 'mass_concentration_of_polychlorinated_biphenyl_130_176_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_131', 'mass_concentration_of_polychlorinated_biphenyl_131_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_132', 'mass_concentration_of_polychlorinated_biphenyl_132_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_134', 'mass_concentration_of_polychlorinated_biphenyl_134_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_136', 'mass_concentration_of_polychlorinated_biphenyl_136_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_137', 'mass_concentration_of_polychlorinated_biphenyl_137_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_138', 'mass_concentration_of_polychlorinated_biphenyl_138_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_141', 'mass_concentration_of_polychlorinated_biphenyl_141_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_144+135', 'mass_concentration_of_polychlorinated_biphenyl_141_135_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_146', 'mass_concentration_of_polychlorinated_biphenyl_146_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_149', 'mass_concentration_of_polychlorinated_biphenyl_149_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_15', None, 'aerosol')
('PCB_151', 'mass_concentration_of_polychlorinated_biphenyl_151_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_153', 'mass_concentration_of_polychlorinated_biphenyl_153_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_156', 'mass_concentration_of_polychlorinated_biphenyl_156_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_157', 'mass_concentration_of_polychlorinated_biphenyl_157_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_158', 'mass_concentration_of_polychlorinated_biphenyl_158_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_16+32', 'mass_concentration_of_polychlorinated_biphenyl_16_32_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_167', 'mass_concentration_of_polychlorinated_biphenyl_167_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_169', 'mass_concentration_of_polychlorinated_biphenyl_169_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_17', 'mass_concentration_of_polychlorinated_biphenyl_17_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_17+18', None, 'aerosol')
('PCB_170', 'mass_concentration_of_polychlorinated_biphenyl_170_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_171', 'mass_concentration_of_polychlorinated_biphenyl_171_in_dry_aerosol_particles_in _air', 'aerosol')
