WMO306_CD,PATH_TX,SOURCE_VARIABLE_ID,SOURCE_MATRIX_ID,CF_STANDARD_NAME_TX,IUPAC_NAME_TX,DEFINITION_TX
440,"\Atmosphere\Gas\Reactive Gas\VOC\C3H4O (prop-2-enal, acrolein)",N2propenal,air,,,
441,"\Atmosphere\Gas\Reactive Gas\VOC\C3H4O2 (2-oxopropanal, methylglyoxal)",N2oxopropanal,air,,,
442,\Atmosphere\Gas\Reactive Gas\VOC\C3H6 (propene),propene,air,,,
443,"\Atmosphere\Gas\Reactive Gas\VOC\C3H6O (acetone, propanone)",propanone,air,,,
444,\Atmosphere\Gas\Reactive Gas\VOC\C3H6O (propanal),propanal,air,,,
445,\Atmosphere\Gas\Reactive Gas\VOC\C3H8 (propane),propane,air,,,
446,"\Atmosphere\Gas\Reactive Gas\VOC\C4H6 (1,3-butadiene, butadiene)",butadiene,air,,,
447,"\Atmosphere\Gas\Reactive Gas\VOC\C4H6O (2-methylprop-2-enal, methacrolein)",N2methylpropenal,air,,,
448,"\Atmosphere\Gas\Reactive Gas\VOC\C4H6O (but-3-en-2-one, methylvinylketone)",N3buten2one,air,,,
449,\Atmosphere\Gas\Reactive Gas\VOC\C4H8 (1-butene),but_1_ene,air,,,
450,\Atmosphere\Gas\Reactive Gas\VOC\C4H8 (sum of butenes),butenes,air,,,
451,"\Atmosphere\Gas\Reactive Gas\VOC\C4H8O (butan-2-one, methylethylketone)",N2butanone,air,,,
452,\Atmosphere\Gas\Reactive Gas\VOC\C4H8O (butanal isomers),butanales,air,,,
453,\Atmosphere\Gas\Reactive Gas\VOC\C5H10 (1-pentene),1_pentene,air,,,
459,\Atmosphere\Gas\Reactive Gas\VOC\C5H10 (sum of pentenes),pentenes,air,,,
460,"\Atmosphere\Gas\Reactive Gas\VOC\C5H10O (pentanal, valeraldehyde)",pentanal,air,,,
464,"\Atmosphere\Gas\Reactive Gas\VOC\C5H8 (2-methyl-1,3-butadiene, isoprene)",isoprene,air,,,
468,\Atmosphere\Gas\Reactive Gas\VOC\C6H12 (cyclohexane),cyclohexane,air,,,
470,\Atmosphere\Gas\Reactive Gas\VOC\C6H12O (hexanal isomers),hexanal,air,,,
472,\Atmosphere\Gas\Reactive Gas\VOC\C6H14 (2-methylpentane),N2methylpentane,air,,,
473,\Atmosphere\Gas\Reactive Gas\VOC\C6H14 (3-methylpentane),N3methylpentane,air,,,
474,\Atmosphere\Gas\Reactive Gas\VOC\C6H14 (n-hexane),hexane,air,,,
476,\Atmosphere\Gas\Reactive Gas\VOC\C6H6 (benzene),benzene,air,,,
481,\Atmosphere\Gas\Reactive Gas\VOC\C7H6O (benzene carbaldehyde),benzenecarbaldehyde,air,,,
482,\Atmosphere\Gas\Reactive Gas\VOC\C7H8 (toluene),toluene,air,,,
483,\Atmosphere\Gas\Reactive Gas\VOC\C8H10 (ethylbenzene),ethylbenzene,air,,,
484,\Atmosphere\Gas\Reactive Gas\VOC\C8H10 (m-xylene),methylbromide,air,,,
485,\Atmosphere\Gas\Reactive Gas\VOC\C8H10 (o-xylene),oxylene,air,,,
486,"\Atmosphere\Gas\Reactive Gas\VOC\C8H10 (p,m-xylene)",mpxylene,air,,,
489,\Atmosphere\Gas\Reactive Gas\VOC\CH2O (formaldehyde),methanal,air,,,
491,"\Atmosphere\Gas\Reactive Gas\VOC\CH3CHO (acetaldehyde, ethanal)",ethanal,air,,,
495,\Atmosphere\Gas\Reactive Gas\VOC\c-C4H8 (cis-2-butene),cis_2_butene,air,,,
496,\Atmosphere\Gas\Reactive Gas\VOC\c-C5H10 (cis-2-pentene),cis_2_pentene,air,,,
497,"\Atmosphere\Gas\Reactive Gas\VOC\i-C4H10 (2-methylpropane, iso-butane)",isobutane,air,,,
498,"\Atmosphere\Gas\Reactive Gas\VOC\i-C4H8 (2-methylpropene, iso-butene)",isobutene,air,,,
499,"\Atmosphere\Gas\Reactive Gas\VOC\i-C5H12 (2-methylbutane, iso-pentane)",isopentane,air,,,
500,"\Atmosphere\Gas\Reactive Gas\VOC\i-C7H16 (2-methylhexane, isoheptane)",isoheptane,air,,,
501,\Atmosphere\Gas\Reactive Gas\VOC\n-C4H10 (n-butane),butane,air,,,
502,\Atmosphere\Gas\Reactive Gas\VOC\n-C5H12 (n-pentane),pentane,air,,,
503,\Atmosphere\Gas\Reactive Gas\VOC\n-C7H16 (n-heptane),heptane,air,,,
504,\Atmosphere\Gas\Reactive Gas\VOC\t-C4H8 (trans-2-butene),trans_2_butene,air,,,
10030,\Atmosphere\Humidity,,,,,
251,\Atmosphere\Humidity\Humidity  (at specified distance from reference surface),relative_humidity,met,,,
10031,\Atmosphere\Lightning,,,,,
12002,\Atmosphere\Lightning\Lightning density cloud-to-ground,,,,,
10032,\Atmosphere\Lightning\Position,,,,,
12001,\Atmosphere\Lightning\Total lightning density,,,,,
10036,\Atmosphere\POPs,,,,,
10037,\Atmosphere\POPs\PAH,,,,,
334,"\Atmosphere\POPs\PAH\C13H10 (9H-fluorene, fluorene), in air",fluorene,air,,,
335,"\Atmosphere\POPs\PAH\C14H10 (anthracene), PM10",anthracene,pm10,,,
336,"\Atmosphere\POPs\PAH\C14H10 (anthracene), in aerosol",anthracene,aerosol,,,
338,"\Atmosphere\POPs\PAH\C14H10 (anthracene), in air",anthracene,air,,,
337,"\Atmosphere\POPs\PAH\C14H10 (anthracene), in air and aerosol",anthracene,air+aerosol,,,
339,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), PM10",phenanthrene,pm10,,,
340,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in aerosol",phenanthrene,aerosol,,,
341,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in air",phenanthrene,air,,,
342,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in air and aerosol",phenanthrene,air+aerosol,,,
344,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in total precipitation",phenanthrene,precip_tot,,,
343,"\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in wet deposition",phenanthrene,precip,,,
345,"\Atmosphere\POPs\PAH\C16H10 (pyrene), in air and aerosol",pyrene,air+aerosol,,,
346,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), PM10",benz_a_anthracene,pm10,,,
347,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in aerosol",benz_a_anthracene,aerosol,,,
348,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in air",benz_a_anthracene,air,,,
349,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in air and aerosol",benz_a_anthracene,air+aerosol,,,
350,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in precipitation",benz_a_anthracene,precip,,,
351,"\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in total precipitation",benz_a_anthracene,precip_tot,,,
10038,\Atmosphere\POPs\POP,,,,,
375,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in aerosol",aldrin,aerosol,,,
376,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in air",aldrin,air,,,
377,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in air and aerosol",aldrin,air+aerosol,,,
378,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in total precipitation",aldrin,precip_tot,,,
379,"\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in wet precipitation",aldrin,precip,,,
380,"\Atmosphere\POPs\POP\C6Cl6 (hexachlorobenzene, HCB), in air",HCB,air,,,
381,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol",alpha_HCH,aerosol,,,
382,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air",alpha_HCH,air,,,
383,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation",alpha_HCH,precip,,,
384,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air",gamma_HCH,air,,,
385,"\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation",gamma_HCH,precip,,,
10035,\Atmosphere\Past weather,,,,,
10039,\Atmosphere\Precipitation,,,,,
210,\Atmosphere\Precipitation\Amount of precipitation,precipitation_amount,precip,,,
10040,\Atmosphere\Present weather,,,,,
10041,\Atmosphere\Pressure,,,,,
216,\Atmosphere\Pressure\Atmospheric pressure,pressure,met,,,
12000,\Atmosphere\Pressure\Atmospheric pressure profile,,,,,Upper-air atmospheric pressure
10042,\Atmosphere\Radiation,,,,,>Atmosphere>Radiation>UV [category]
10043,\Atmosphere\Radiation\IR,,,,,
10044,\Atmosphere\Radiation\Solar,,,,,
10045,\Atmosphere\Radiation\UV,,,,,
10046,\Atmosphere\Radionuclide,,,,,
10051,\Atmosphere\Temperature,,,,,
224,\Atmosphere\Temperature\Air temperature (at specified distance from reference surface),temperature,met,,,
10052,\Atmosphere\Total Atmospheric Deposition,,,,,
294,\Atmosphere\Total Atmospheric Deposition\Acidity/Alkalinity,acidity,precip,,,
295,\Atmosphere\Total Atmospheric Deposition\Electric conductivity,conductivity,precip,,,
296,\Atmosphere\Total Atmospheric Deposition\Hydrogen ion (H+) or pH,pH,precip,,,
10053,\Atmosphere\Total Atmospheric Deposition\Inorganic acid,,,,,
10054,\Atmosphere\Total Atmospheric Deposition\Inorganic anions,,,,,
539,\Atmosphere\Total Atmospheric Deposition\Inorganic anions\Chloride (Cl-),chloride,precip,,,
543,"\Atmosphere\Total Atmospheric Deposition\Inorganic anions\Sulfate (SO4=), corrected",sulphate_corrected,precip,,,
544,"\Atmosphere\Total Atmospheric Deposition\Inorganic anions\Sulfate (SO4=), total",sulphate_total,precip,,,
10055,\Atmosphere\Total Atmospheric Deposition\Inorganic cations,,,,,
545,\Atmosphere\Total Atmospheric Deposition\Inorganic cations\Calcium (Ca++),calcium,precip,,,
546,\Atmosphere\Total Atmospheric Deposition\Inorganic cations\Magnesium (Mg++),magnesium,precip,,,
547,\Atmosphere\Total Atmospheric Deposition\Inorganic cations\Potassium (K+),potassium,precip,,,
548,\Atmosphere\Total Atmospheric Deposition\Inorganic cations\Sodium (Na+),sodium,precip,,,
10056,\Atmosphere\Total Atmospheric Deposition\Inorganic nitrogen species,,,,,
568,\Atmosphere\Total Atmospheric Deposition\Inorganic nitrogen species\Ammonium (NH4+),ammonium,precip,,,
569,\Atmosphere\Total Atmospheric Deposition\Inorganic nitrogen species\Nitrate (NO3-),nitrate,precip,,,
10057,\Atmosphere\Total Atmospheric Deposition\Organic acid,,,,,
10058,\Atmosphere\Total Atmospheric Deposition\Trace elements,,,,,
597,\Atmosphere\Total Atmospheric Deposition\Trace elements\Aluminium (Al),aluminium,precip,,,
598,\Atmosphere\Total Atmospheric Deposition\Trace elements\Arsenic (As),arsenic,precip,,,
599,\Atmosphere\Total Atmospheric Deposition\Trace elements\Cadmium (Cd),cadmium,precip,,,
600,\Atmosphere\Total Atmospheric Deposition\Trace elements\Chromium (Cr),chromium,precip,,,
601,\Atmosphere\Total Atmospheric Deposition\Trace elements\Cobalt (Co),cobalt,precip,,,
602,\Atmosphere\Total Atmospheric Deposition\Trace elements\Copper (Cu),copper,precip,,,
603,\Atmosphere\Total Atmospheric Deposition\Trace elements\Iron (Fe),iron,precip,,,
604,\Atmosphere\Total Atmospheric Deposition\Trace elements\Lead (Pb),lead,precip,,,
605,\Atmosphere\Total Atmospheric Deposition\Trace elements\Manganese (Mn),manganese,precip,,,
606,\Atmosphere\Total Atmospheric Deposition\Trace elements\Mercury (Hg),mercury,precip,,,
607,\Atmosphere\Total Atmospheric Deposition\Trace elements\Nickel (Ni),nickel,precip,,,
608,\Atmosphere\Total Atmospheric Deposition\Trace elements\Vanadium (V),vanadium,precip,,,
609,\Atmosphere\Total Atmospheric Deposition\Trace elements\Zinc (Zn),zinc,precip,,,
10059,\Atmosphere\Visibility,,,,,
10060,\Atmosphere\Visibility\Obscurations,,,,,
230,\Atmosphere\Visibility\Visibility,,,,,
10061,\Atmosphere\Wind,,,,,
12005,\Atmosphere\Wind\Horizontal wind direction at specified distance from reference surface,,,,,Horizontal wind direction at specified distance from reference surface
12006,\Atmosphere\Wind\Horizontal wind speed at specified distance from reference surface,,,,,Horizontal wind speed at specified distance from reference surface
309,"\Atmosphere\Wind\Wind (surface wind direction and speed, horizontal) - deprecated",wind_direction,met,,,Horizontal component of wind as speed and direction.
309,"\Atmosphere\Wind\Wind (surface wind direction and speed, horizontal) - deprecated",wind_speed,met,,,Horizontal component of wind as speed and direction.
10062,\Earth,,,,,
10063,\Ocean,,,,,
10076,\Ocean\Basic Physical Properties,,,,,
732,\Ocean\Basic Physical Properties\Density,,,,,Density measured by CTD
10067,\Ocean\Biology,,,,,
10068,\Ocean\Biology\Nitrogen species,,,,,
10069,\Ocean\Biology\Phosporus species,,,,,
733,\Ocean\Biology\Zooplankton (size and/or development stage),,,,,"Aggregate of animal or animal-like organisms in plankton, as protozoans."
10065,\Ocean\Currents,,,,,
10115,\Ocean\Greenhouse Gas,,,,,
735,\Ocean\Greenhouse Gas\pCO2,,,,,Partial pressure of CO2 
736,\Ocean\Greenhouse Gas\pCO2 air-sea flux,,,,,Flux of CO2 from the ocean into the atmosphere
10066,\Ocean\Miscellaneous,,,,,
10116,\Ocean\Miscellaneous\Carbon species,,,,,
739,\Ocean\Miscellaneous\Fluorescence (DOM),,,,,Flurometric coloured dissolved Organic matter concentration.
10117,\Ocean\Miscellaneous\Nitrogen species,,,,,
10070,\Ocean\Other Gas,,,,,
10071,\Ocean\Other Gas\CTD,,,,,
10074,\Ocean\Radiation,,,,,
10075,\Ocean\Reactive Gas,,,,,
10077,\Ocean\Snow / Ice / Glacier,,,,,
10078,\Ocean\Snow / Ice / Glacier\Ice,,,,,
10080,\Ocean\Tides,,,,,
