WMO306_CD,PATH_TX,SOURCE_VARIABLE_ID,SOURCE_MATRIX_ID,CF_STANDARD_NAME_TX,IUPAC_NAME_TX,DEFINITION_TX
641,"\Atmosphere\Aerosol\Composition\Inorganic cations\Sodium (Na+), PM10",sodium,pm10,,,
642,"\Atmosphere\Aerosol\Composition\Inorganic cations\Sodium (Na+), PM2.5",sodium,pm25,,,
643,"\Atmosphere\Aerosol\Composition\Inorganic cations\Sodium (Na+), total aerosol",sodium,aerosol,,,
10006,\Atmosphere\Aerosol\Composition\Inorganic nitrogen species,,,,,
644,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonia (NH3), PM2.5",ammonia,pm25,,,
645,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium (NH4+), PM10",ammonium,pm10,,,
646,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium (NH4+), PM2.5",ammonium,pm25,,,
647,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium (NH4+), total aerosol",ammonium,aerosol,,,
649,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium nitrate (NH4NO3), PM1",ammonium_nitrate,pm1,,,
648,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium nitrate (NH4NO3), total aerosol",ammonium_nitrate,aerosol,,,
650,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Nitrate (NO3-), PM10",nitrate,pm10,,,
651,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Nitrate (NO3-), PM2.5",nitrate,pm25,,,
652,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Nitrate (NO3-), total aerosol",nitrate,aerosol,,,
653,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Nitrite (NO2-), total aerosol",nitrite,aerosol,,,
654,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Sum of ammonia (NH3) and ammonium (NH4+), in air and aerosol",sum_ammonia_and_ammonium,air+aerosol,,,
655,"\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Sum of nitric acid (HNO3) and nitrate (NO3-), in air and aerosol",sum_nitric_acid_and_nitrate,air+aerosol,,,
10007,\Atmosphere\Aerosol\Composition\Major inorganic components,,,,,
10008,\Atmosphere\Aerosol\Composition\Organic anions,,,,,
662,"\Atmosphere\Aerosol\Composition\Organic anions\C2H3O2- (CH3COO-, acetate), PM1",acetate,pm1,,,
663,"\Atmosphere\Aerosol\Composition\Organic anions\C2H3O2- (CH3COO-, acetate), in aerosol",acetate,aerosol,,,
664,"\Atmosphere\Aerosol\Composition\Organic anions\C2O4= (oxalate, ethanedioate), PM1",oxalate,pm1,,,
665,"\Atmosphere\Aerosol\Composition\Organic anions\C2O4= (oxalate, ethanedioate), PM10",oxalate,pm10,,,
666,"\Atmosphere\Aerosol\Composition\Organic anions\C2O4= (oxalate, ethanedioate), total aerosol",oxalate,aerosol,,,
667,"\Atmosphere\Aerosol\Composition\Organic anions\CH3O3S- (methanesulfonate), PM1",methansulphonate,aerosol,,,
668,"\Atmosphere\Aerosol\Composition\Organic anions\CH3O3S- (methanesulfonate), total aerosol",methansulphonate,pm1,,,
669,"\Atmosphere\Aerosol\Composition\Organic anions\CHO2- (HCOO-, formate), in aerosol",formate,aerosol,,,
10009,\Atmosphere\Aerosol\Composition\Organic carbonaceous,,,,,
670,"\Atmosphere\Aerosol\Composition\Organic carbonaceous\Carbonaceous/organic material (coarse), PM10",organic_carbon,pm10,,,
10010,\Atmosphere\Aerosol\Composition\Trace elements,,,,,
673,"\Atmosphere\Aerosol\Composition\Trace elements\Aluminium (Al), PM2.5",aluminium,pm25,,,
675,"\Atmosphere\Aerosol\Composition\Trace elements\Antimony (Sb), PM2.5",antimony,pm25,,,
676,"\Atmosphere\Aerosol\Composition\Trace elements\Antimony (Sb), total aerosol",aluminium,aerosol,,,
677,"\Atmosphere\Aerosol\Composition\Trace elements\Arsenic (As), PM10",arsenic,pm10,,,
678,"\Atmosphere\Aerosol\Composition\Trace elements\Arsenic (As), total aerosol",arsenic,aerosol,,,
679,"\Atmosphere\Aerosol\Composition\Trace elements\Barium (Ba), PM2.5",barium,pm25,,,
680,"\Atmosphere\Aerosol\Composition\Trace elements\Barium (Ba), total aerosol",barium,aerosol,,,
681,"\Atmosphere\Aerosol\Composition\Trace elements\Bismuth (Bi), PM2.5",bismuth,pm25,,,
682,"\Atmosphere\Aerosol\Composition\Trace elements\Bismuth (Bi), total aerosol",bismuth,aerosol,,,
683,"\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), PM1",cadmium,pm1,,,
684,"\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), PM10",cadmium,pm10,,,
685,"\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), PM2.5",cadmium,pm25,,,
686,"\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), PM2.5 thru PM10",cadmium,pm10_pm25,,,
687,"\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), total aerosol",cadmium,aerosol,,,
688,"\Atmosphere\Aerosol\Composition\Trace elements\Cerium (Ce), PM2.5",cerium,pm25,,,
689,"\Atmosphere\Aerosol\Composition\Trace elements\Cerium (Ce), total aerosol",cerium,aerosol,,,
690,"\Atmosphere\Aerosol\Composition\Trace elements\Chromium (Cr), total aerosol",chromium,aerosol,,,
691,"\Atmosphere\Aerosol\Composition\Trace elements\Cobalt (Co), total aerosol",cobalt,aerosol,,,
692,"\Atmosphere\Aerosol\Composition\Trace elements\Copper (Cu), PM10",copper,pm10,,,
693,"\Atmosphere\Aerosol\Composition\Trace elements\Copper (Cu), total aerosol",copper,aerosol,,,
694,"\Atmosphere\Aerosol\Composition\Trace elements\Iron (Fe), total aerosol",iron,aerosol,,,
695,"\Atmosphere\Aerosol\Composition\Trace elements\Lanthanum (La), PM2.5",lanthanum,pm25,,,
696,"\Atmosphere\Aerosol\Composition\Trace elements\Lanthanum (La), total aerosol",lanthanum,aerosol,,,
697,"\Atmosphere\Aerosol\Composition\Trace elements\Lead (Pb), PM10",lead,pm10,,,
698,"\Atmosphere\Aerosol\Composition\Trace elements\Lead (Pb), total aerosol",lead,aerosol,,,
699,"\Atmosphere\Aerosol\Composition\Trace elements\Lithium (Li), PM2.5",lithium,pm25,,,
700,"\Atmosphere\Aerosol\Composition\Trace elements\Lithium (Li), total aerosol",lithium,aerosol,,,
701,"\Atmosphere\Aerosol\Composition\Trace elements\Manganese (Mn), PM10",manganese,pm10,,,
702,"\Atmosphere\Aerosol\Composition\Trace elements\Manganese (Mn), total aerosol",manganese,aerosol,,,
703,"\Atmosphere\Aerosol\Composition\Trace elements\Mercury (Hg), total aerosol",mercury,aerosol,,,
704,"\Atmosphere\Aerosol\Composition\Trace elements\Nickel (Ni), PM10",nickel,pm10,,,
705,"\Atmosphere\Aerosol\Composition\Trace elements\Nickel (Ni), total aerosol",nickel,aerosol,,,
706,"\Atmosphere\Aerosol\Composition\Trace elements\Phosphorous (P), PM2.5",phosphorus,pm25,,,
707,"\Atmosphere\Aerosol\Composition\Trace elements\Phosphorous (P), total aerosol",phosphorus,aerosol,,,
708,"\Atmosphere\Aerosol\Composition\Trace elements\Rubidium (Rb), PM2.5",rubidium,pm25,,,
709,"\Atmosphere\Aerosol\Composition\Trace elements\Rubidium (Rb), total aerosol",rubidium,aerosol,,,
710,"\Atmosphere\Aerosol\Composition\Trace elements\Selenium (Se), total aerosol",selenium,aerosol,,,
711,"\Atmosphere\Aerosol\Composition\Trace elements\Strontium (Sr), PM2.5",strontium,pm25,,,
712,"\Atmosphere\Aerosol\Composition\Trace elements\Strontium (Sr), total aerosol",strontium,aerosol,,,
713,"\Atmosphere\Aerosol\Composition\Trace elements\Thallium (Tl), PM2.5",thallium,pm25,,,
714,"\Atmosphere\Aerosol\Composition\Trace elements\Thallium (Tl), total aerosol",thallium,aerosol,,,
715,"\Atmosphere\Aerosol\Composition\Trace elements\Thorium (Th), PM2.5",thorium,pm25,,,
716,"\Atmosphere\Aerosol\Composition\Trace elements\Thorium (Th), total aerosol",thorium,aerosol,,,
717,"\Atmosphere\Aerosol\Composition\Trace elements\Tin (Sn), PM2.5",tin,pm25,,,
718,"\Atmosphere\Aerosol\Composition\Trace elements\Tin (Sn), total aerosol",tin,aerosol,,,
672,"\Atmosphere\Aerosol\Composition\Trace elements\Titanium (Ti), total aerosol",titanium,aerosol,,,
719,"\Atmosphere\Aerosol\Composition\Trace elements\Uranium (U), PM2.5",uranium,pm25,,,
720,"\Atmosphere\Aerosol\Composition\Trace elements\Uranium (U), total aerosol",uranium,aerosol,,,
721,"\Atmosphere\Aerosol\Composition\Trace elements\Vanadium (V), PM2.5",vanadium,pm25,,,
722,"\Atmosphere\Aerosol\Composition\Trace elements\Vanadium (V), total aerosol",vanadium,aerosol,,,
723,"\Atmosphere\Aerosol\Composition\Trace elements\Zinc (Zn), PM2.5",zinc,pm25,,,
724,"\Atmosphere\Aerosol\Composition\Trace elements\Zinc (Zn), total aerosol",zinc,aerosol,,,
10011,\Atmosphere\Aerosol\Optical properties,,,,,
316,"\Atmosphere\Aerosol\Optical properties\Light absorption coefficient, PM1",aerosol_absorption_coefficient,pm1,,,
317,"\Atmosphere\Aerosol\Optical properties\Light absorption coefficient, PM10",aerosol_absorption_coefficient,pm10,,,
318,"\Atmosphere\Aerosol\Optical properties\Light absorption coefficient, total aerosol",aerosol_absorption_coefficient,aerosol,,,
319,"\Atmosphere\Aerosol\Optical properties\Light backscattering coefficient, PM1",aerosol_light_backscattering_coefficient,pm1,,,
320,"\Atmosphere\Aerosol\Optical properties\Light backscattering coefficient, PM10",aerosol_light_backscattering_coefficient,pm10,,,
321,"\Atmosphere\Aerosol\Optical properties\Light backscattering coefficient, total aerosol",aerosol_light_backscattering_coefficient,aerosol,,,
322,"\Atmosphere\Aerosol\Optical properties\Light scattering coefficient, PM1",aerosol_light_scattering_coefficient,pm1,,,
323,"\Atmosphere\Aerosol\Optical properties\Light scattering coefficient, PM10",aerosol_light_scattering_coefficient,pm10,,,
324,"\Atmosphere\Aerosol\Optical properties\Light scattering coefficient, total aerosol",aerosol_light_scattering_coefficient,aerosol,,,
325,"\Atmosphere\Aerosol\Optical properties\Multiwavelength optical depth, total aerosol",aerosol_optical_depth,aerosol,,,Aerosol optical depth of the atmospheric column determined at multiple wavelengths
10012,\Atmosphere\Aerosol\Physical properties - primary,,,,,
10013,\Atmosphere\Aerosol\Physical properties - primary\Dust,,,,,
364,\Atmosphere\Aerosol\Physical properties - primary\Mass concentration (coarse) or Mass PM10,pm10_mass,pm10,,,
365,\Atmosphere\Aerosol\Physical properties - primary\Mass concentration (fine) or Mass PM1,pm1_mass,pm1,,,
366,"\Atmosphere\Aerosol\Physical properties - primary\Mass concentration (medium), PM2.5",pm25_mass,pm25,,,
